feature,native,shap,lime
month,1.207442196942158,1.2696097754586153,1.8769507909186014
week_of_year,1.7967440539990083,1.665474679965655,2.593509045956076
quarter,1.1129062624419594,1.1334446794465842,2.1081209414136417
is_month_start,0.6393154913235437,0.5536113990959373,2.1322064025913225
is_month_end,0.43251883738959207,0.4143341721926352,1.5047322576287678
month_sin,1.8358931226258972,1.7182496578159434,2.4778634334152683
month_cos,2.7788880801413476,2.6039181129404603,3.3550145592803253
week_sin,1.5644799055489862,3.212418613808176,3.8745796704598523
week_cos,2.8553081144763865,3.0685876530580836,4.097673636407806
lag_1,21.063642496912124,21.05396364639525,44.17870741194698
lag_2,12.569054887779684,11.903641436731611,24.32958609882693
lag_4,2.8873690606324307,2.6480319974622777,4.2612645308898704
lag_8,4.113017481244244,4.118897209295997,4.338740754955108
rolling_mean_4,7.727860808859658,9.026541774596259,17.61090116904127
rolling_mean_8,6.310029666882859,7.093696556603948,11.172519187803289
rolling_std_4,1.9846211290670526,1.979757470894848,1.9578847317420245
rolling_std_8,2.410800094723792,2.184497992707037,4.626044907204629
temp_mean,1.6393075009063394,1.6489275010004794,2.1641199200954575
temp_min,2.893170782616866,3.024585370064607,3.841263813758278
temp_max,3.4647868693473396,3.157903887312113,4.895246978050183
precip_sum,1.485085739335047,1.4282064767759064,2.1937226873358635
sunshine_sum,2.6544410735643824,2.484295705885034,3.45230698320188
temp_anomaly,0.5295448166445124,0.522697526561732,1.56759517028047
heavy_rain,0.7032607441397339,0.659606869424294,1.953663055348082
has_holiday,1.3098400540889032,1.2109091400460201,4.094694865585576
min_days_to_holiday,0.9384652014886753,0.9716676769016188,1.4566631477970795
hol_ascension,0.659828389950733,0.7717328406013251,10.931401981317054
hol_christmas,0.8849701746851154,1.1588113519619627,18.52958542150782
hol_easter,0.5653970620703713,0.5573388789572179,4.874846626051828
hol_kings_day,0.30608756883523486,0.23633484920813705,6.636139612575375
hol_liberation_day,0.04989920149004814,0.0,8.280009951779055
hol_new_year,0.004346077908963902,0.0,3.847268924819953
hol_pentecost,0.5015339102038058,0.27911027423435425,6.337074574665178
