,mean_abs_weight
rolling_mean_4,36.69468845383708
lag_1,16.69390837211949
rolling_mean_8,9.740727551380811
lag_2,9.050189318160916
rolling_std_4,8.759885672813223
week_of_year,7.9734118563477985
lag_8,6.560631020241119
temp_max,3.6550337830311967
precip_sum,2.7287458132583566
week_cos,1.9899186412996568
lag_4,1.8619327480268608
sunshine_sum,1.8167780489714929
temp_min,1.6515188277600628
min_days_to_holiday,1.484127673373092
month_cos,1.4623220232710172
month,1.3929574259067516
rolling_std_8,1.3642022394033082
week_sin,1.2942762961896142
month_sin,1.2362169542467885
lockdown_days,1.1149192817880118
lockdown,1.0960936285053122
hol_easter,1.0846745272603382
is_month_start,1.056979616292616
school_summer,1.0323243800896575
hol_ascension,1.0152530370309907
has_holiday,0.9932298548835872
temp_mean,0.9920732967223644
is_month_end,0.9848741757235807
hol_christmas,0.9817994625454488
temp_anomaly,0.9817917123136065
school_autumn,0.9791939850599429
school_holiday,0.9672612354889706
school_spring,0.9617223138018549
school_christmas,0.9363478431818654
hol_pentecost,0.9324857559235505
hol_new_year,0.9322313186514577
hol_kings_day,0.9134551398108322
hol_liberation_day,0.9112740158963886
school_may,0.8453165947389478
heavy_rain,0.8429249343653079
